time,cumulative 3-month rainfall (mm)
2013-12-31,61.88324
2014-03-31,157.48248
2014-06-30,10.796387
2014-09-30,0.3187256
2014-12-31,43.355164
2015-03-31,39.55316
2015-06-30,33.628357
2015-09-30,0.22381592
2015-12-31,17.569946
2016-03-31,98.86511
2016-06-30,4.6361694
2016-09-30,0.0022583008
2016-12-31,36.558838
2017-03-31,194.15387
2017-06-30,15.736206
2017-09-30,0.0446167
2017-12-31,40.726074
2018-03-31,102.03125
2018-06-30,14.147888
2018-09-30,1.19104
2018-12-31,26.525208
2019-03-31,53.967773
2019-06-30,7.5216064
2019-09-30,0.03930664
2019-12-31,34.58734
2020-03-31,116.289
2020-06-30,8.432983
2020-09-30,0.17749023
2020-12-31,58.89746
2021-03-31,200.11676
2021-06-30,0.6185913
